Size_sqft,Bedrooms,Age,Location,Price
1200,3,10,Urban,85000
1500,4,5,Suburban,120000
800,2,20,Rural,40000
2000,4,8,Urban,150000
1700,3,12,Suburban,110000
900,2,15,Rural,50000
2500,5,3,Urban,200000
1400,3,7,Suburban,95000
1100,2,18,Rural,60000
1800,4,6,Urban,140000
2100,4,4,Urban,165000
1600,3,9,Suburban,105000
950,2,22,Rural,42000
1300,3,11,Suburban,90000
2200,5,2,Urban,210000
1750,4,10,Urban,135000
1450,3,14,Suburban,98000
1000,2,19,Rural,58000
2400,5,5,Urban,195000
1550,3,8,Suburban,108000
850,2,25,Rural,39000
1900,4,7,Urban,145000
1650,3,13,Suburban,102000
1200,2,16,Rural,61000
2300,5,4,Urban,205000
1500,3,6,Suburban,112000
900,2,21,Rural,45000
2000,4,9,Urban,155000
1700,3,15,Suburban,97000
1050,2,17,Rural,59000
